lat,lon,filename
18.75,-102.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-102.2.csv
18.75,-101.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-101.8.csv
18.75,-101.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-101.2.csv
18.75,-100.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-100.8.csv
18.75,-100.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-100.2.csv
18.75,-99.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-99.8.csv
18.75,-99.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-99.2.csv
18.75,-98.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-98.8.csv
18.75,-98.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-98.2.csv
18.75,-97.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-97.8.csv
18.75,-97.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-97.2.csv
18.75,-96.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-96.8.csv
18.75,-96.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-96.2.csv
18.75,-95.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-95.8.csv
18.75,-91.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-91.2.csv
18.75,-90.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-90.8.csv
18.75,-90.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-90.2.csv
18.75,-89.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-89.8.csv
18.75,-89.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-89.2.csv
18.75,-88.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-88.8.csv
18.75,-88.25,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-88.2.csv
18.75,-87.75,ts_nada_v1_0_0_pdsi_jja_lat_18.8_lon_-87.8.csv
19.25,-104.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-104.8.csv
19.25,-104.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-104.2.csv
19.25,-103.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-103.8.csv
19.25,-103.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-103.2.csv
19.25,-102.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-102.8.csv
19.25,-102.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-102.2.csv
19.25,-101.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-101.8.csv
19.25,-101.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-101.2.csv
19.25,-100.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-100.8.csv
19.25,-100.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-100.2.csv
19.25,-99.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-99.8.csv
19.25,-99.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-99.2.csv
19.25,-98.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-98.8.csv
19.25,-98.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-98.2.csv
19.25,-97.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-97.8.csv
19.25,-97.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-97.2.csv
19.25,-96.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-96.8.csv
19.25,-96.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-96.2.csv
19.25,-90.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-90.8.csv
19.25,-90.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-90.2.csv
19.25,-89.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-89.8.csv
19.25,-89.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-89.2.csv
19.25,-88.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-88.8.csv
19.25,-88.25,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-88.2.csv
19.25,-87.75,ts_nada_v1_0_0_pdsi_jja_lat_19.2_lon_-87.8.csv
19.75,-105.25,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-105.2.csv
19.75,-104.75,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-104.8.csv
19.75,-104.25,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-104.2.csv
19.75,-103.75,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-103.8.csv
19.75,-103.25,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-103.2.csv
19.75,-102.75,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-102.8.csv
19.75,-102.25,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-102.2.csv
19.75,-101.75,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-101.8.csv
19.75,-101.25,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-101.2.csv
19.75,-100.75,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-100.8.csv
19.75,-100.25,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-100.2.csv
19.75,-99.75,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-99.8.csv
19.75,-99.25,ts_nada_v1_0_0_pdsi_jja_lat_19.8_lon_-99.2.csv
